# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Mon Dec  6 23:03:15 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,
# User preference: *,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_name:        Planet Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN hostname:       Host Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN sy_snum:        Number of Stars,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN sy_pnum:        Number of Planets,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN discoverymethod: Discovery Method,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN disc_year:      Discovery Year,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]),,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au],,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au],,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass],,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_spectype:    Spectral Type,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_teff:        Stellar Effective Temperature [K],,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K],,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K],,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_rad:         Stellar Radius [Solar Radius],,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius],,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius],,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_radlim:      Stellar Radius Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_mass:        Stellar Mass [Solar mass],,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass],,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass],,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_masslim:     Stellar Mass Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,
pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim
Kepler-1275 b,Kepler-1275,1,1,Transit,2016,0.0488,,,0,0.00879,,,0,M-R relationship,,6296,202.94,-214.87,0,1.36,0.6,-0.23,0,1.23,0.21,-0.13,0
Kepler-1276 b,Kepler-1276,1,1,Transit,2016,0.1072,,,0,0.0057,,,0,M-R relationship,,6188,65.25,-55.24,0,1.21,0.14,-0.1,0,1.14,0.05,-0.05,0
Kepler-1277 b,Kepler-1277,1,1,Transit,2016,0.2237,,,0,0.01,,,0,M-R relationship,,5578,82.21,-68.73,0,0.92,0.06,-0.05,0,0.94,0.04,-0.04,0
Kepler-1278 b,Kepler-1278,1,1,Transit,2016,0.0419,,,0,0.00317,,,0,M-R relationship,,6074,112.24,-128.32,0,1.16,0.35,-0.13,0,1.11,0.11,-0.08,0
Kepler-1279 b,Kepler-1279,1,1,Transit,2016,0.1633,,,0,0.0117,,,0,M-R relationship,,6221,97.8,-110.44,0,1.33,0.62,-0.19,0,1.21,0.19,-0.1,0
Kepler-128 b,Kepler-128,1,2,Transit,2013,0.1231,,,0,0.00242,0.00151,-0.00079,0,Mass,,6136,33.4,-49.64,0,1.61,0.1,-0.07,0,1.09,0.08,-0.05,0
Kepler-128 c,Kepler-128,1,2,Transit,2013,0.1622,,,0,0.00283,0.00182,-0.00091,0,Mass,,6136,33.4,-49.64,0,1.61,0.1,-0.07,0,1.09,0.08,-0.05,0
Kepler-1280 b,Kepler-1280,1,1,Transit,2016,0.38,,,0,0.0131,,,0,M-R relationship,,6227,121.69,-156.51,0,1.32,0.59,-0.2,0,1.2,0.18,-0.11,0
Kepler-1281 b,Kepler-1281,1,1,Transit,2016,0.0415,,,0,0.0105,,,0,M-R relationship,,5353,86.5,-93.58,0,0.83,0.06,-0.05,0,0.87,0.04,-0.05,0
Kepler-1282 b,Kepler-1282,1,1,Transit,2016,0.0335,,,0,0.00951,,,0,M-R relationship,,5504,81.08,-78.7,0,0.89,0.11,-0.06,0,0.92,0.04,-0.04,0
Kepler-1283 b,Kepler-1283,1,1,Transit,2016,0.1062,,,0,0.0136,,,0,M-R relationship,,6175,183.18,-233.53,0,1.25,0.51,-0.2,0,1.16,0.18,-0.11,0
Kepler-1284 b,Kepler-1284,1,1,Transit,2016,0.0143,,,0,0.00606,,,0,M-R relationship,,5123,62.8,-83.53,0,0.79,0.05,-0.04,0,0.84,0.04,-0.04,0
Kepler-1285 b,Kepler-1285,1,1,Transit,2016,0.1268,,,0,0.00274,,,0,M-R relationship,,6170,67.21,-62.49,0,1.28,0.12,-0.09,0,1.2,0.05,-0.04,0
Kepler-1286 b,Kepler-1286,1,1,Transit,2016,0.0991,,,0,0.0166,,,0,M-R relationship,,5753,74.56,-79.2,0,0.98,0.2,-0.07,0,1,0.05,-0.05,0
Kepler-1287 b,Kepler-1287,1,1,Transit,2016,0.0976,,,0,0.0094,,,0,M-R relationship,,5715,93.97,-83.95,0,0.94,0.13,-0.07,0,0.96,0.05,-0.06,0
Kepler-1288 b,Kepler-1288,1,1,Transit,2016,0.0435,,,0,0.00459,,,0,M-R relationship,,6132,87.95,-135.79,0,1.29,0.54,-0.17,0,1.2,0.16,-0.08,0
Kepler-1289 b,Kepler-1289,1,1,Transit,2016,0.0785,,,0,0.0092,,,0,M-R relationship,,6080,245.65,-268.17,0,1.17,0.37,-0.18,0,1.1,0.17,-0.1,0
Kepler-129 b,Kepler-129,1,3,Transit,2014,0.13,,,0,0.06293,,,1,Msini,G4 V,5770,83,-83,0,1.65,0.01,-0.01,0,1.18,0.02,-0.03,0
Kepler-129 c,Kepler-129,1,3,Transit,2014,0.39,,,0,0.13529,0.0409,-0.03776,0,Mass,G4 V,5770,83,-83,0,1.65,0.01,-0.01,0,1.18,0.02,-0.03,0
Kepler-129 d,Kepler-129,1,3,Radial Velocity,2021,4,0.1,-0.1,0,8.3,1.1,-0.7,0,Msini,G4 V,5770,83,-83,0,1.65,0.01,-0.01,0,1.18,0.02,-0.03,0
Kepler-1290 b,Kepler-1290,1,1,Transit,2016,0.0557,,,0,0.00819,,,0,M-R relationship,,5660,114.11,-108.37,0,0.93,0.13,-0.07,0,0.95,0.05,-0.05,0
Kepler-1291 b,Kepler-1291,1,1,Transit,2016,0.0779,,,0,0.0107,,,0,M-R relationship,,5216,81.36,-108.14,0,0.8,0.05,-0.05,0,0.84,0.04,-0.05,0
Kepler-1292 b,Kepler-1292,1,1,Transit,2016,0.0443,,,0,0.0125,,,0,M-R relationship,,5556,63,-77.3,0,0.93,0.14,-0.06,0,0.95,0.04,-0.04,0
Kepler-1293 b,Kepler-1293,1,1,Transit,2016,0.0659,,,0,0.00274,,,0,M-R relationship,,6241,114.93,-99.8,0,1.28,0.55,-0.18,0,1.18,0.18,-0.1,0
Kepler-1294 b,Kepler-1294,1,1,Transit,2016,0.4684,,,0,0.0324,,,0,M-R relationship,,5776,152.5,-137.2,0,0.97,0.16,-0.09,0,0.99,0.07,-0.06,0
Kepler-1295 b,Kepler-1295,1,1,Transit,2016,0.0464,,,0,0.00951,,,0,M-R relationship,,5486,70.55,-100.36,0,0.89,0.1,-0.06,0,0.92,0.04,-0.04,0
Kepler-1296 b,Kepler-1296,1,1,Transit,2016,0.0896,,,0,0.00218,,,0,M-R relationship,,5359,98.28,-120.32,0,0.83,0.07,-0.05,0,0.87,0.04,-0.05,0
Kepler-1297 b,Kepler-1297,1,1,Transit,2016,0.0283,,,0,0.00274,,,0,M-R relationship,,5818,83.49,-92.17,0,0.99,0.16,-0.09,0,0.99,0.06,-0.06,0
Kepler-1298 b,Kepler-1298,1,1,Transit,2016,0.082,,,0,0.00714,,,0,M-R relationship,,6339,64.06,-65.86,0,2,0.34,-0.35,0,1.45,0.12,-0.11,0
Kepler-1299 b,Kepler-1299,1,1,Transit,2016,0.1357,,,0,0.0288,,,0,M-R relationship,,5609,92.88,-129.75,0,0.91,0.13,-0.06,0,0.94,0.04,-0.06,0
Kepler-130 b,Kepler-130,2,3,Transit,2014,0.079,,,0,0.00328,,,0,M-R relationship,,5884,75,-75,0,1.13,0.03,-0.03,0,0.96,0.04,-0.04,0
Kepler-130 c,Kepler-130,2,3,Transit,2014,0.178,0.005,-0.005,0,0.0275,,,0,M-R relationship,,5879,48,-51,0,1.17,0.1,-0.09,0,1,0.09,-0.1,0
Kepler-130 d,Kepler-130,2,3,Transit,2014,0.377,,,0,0.0105,,,0,M-R relationship,,5884,75,-75,0,1.13,0.03,-0.03,0,0.96,0.04,-0.04,0
Kepler-1300 b,Kepler-1300,1,1,Transit,2016,0.1655,,,0,0.00771,,,0,M-R relationship,,6130,87.31,-108.91,0,1.79,0.38,-0.41,0,1.29,0.16,-0.15,0
Kepler-1301 b,Kepler-1301,1,1,Transit,2016,0.0815,,,0,0.008,,,0,M-R relationship,,5188,55.6,-60.07,0,0.81,0.05,-0.04,0,0.85,0.04,-0.04,0
Kepler-1302 b,Kepler-1302,1,1,Transit,2016,0.0795,,,0,0.00829,,,0,M-R relationship,,5236,58.55,-77.09,0,0.82,0.06,-0.04,0,0.86,0.04,-0.04,0
Kepler-1303 b,Kepler-1303,1,1,Transit,2016,0.0751,,,0,0.00819,,,0,M-R relationship,,5771,85.68,-110.62,0,1,0.24,-0.09,0,1.01,0.05,-0.05,0
Kepler-1304 b,Kepler-1304,1,1,Transit,2016,0.1202,,,0,0.0184,,,0,M-R relationship,,5259,97.24,-121.88,0,0.81,0.05,-0.05,0,0.85,0.04,-0.05,0
Kepler-1305 b,Kepler-1305,1,1,Transit,2016,0.1109,,,0,0.0132,,,0,M-R relationship,,5701,138.16,-175.79,0,0.96,0.17,-0.09,0,0.97,0.06,-0.06,0
Kepler-1306 b,Kepler-1306,1,1,Transit,2016,0.123,,,0,0.0136,,,0,M-R relationship,,5727,140.59,-132.91,0,0.97,0.22,-0.09,0,0.98,0.07,-0.06,0
Kepler-1307 b,Kepler-1307,1,1,Transit,2016,0.1369,,,0,0.021,,,0,M-R relationship,,5884,77.63,-103.16,0,1.08,0.29,-0.11,0,1.06,0.07,-0.06,0
Kepler-1308 b,Kepler-1308,1,1,Transit,2016,0.025,,,0,0.00029,,,0,M-R relationship,,3468,33.65,-30.71,0,0.34,0.03,-0.03,0,0.35,0.04,-0.04,0
Kepler-1309 b,Kepler-1309,1,1,Transit,2016,0.1679,,,0,0.0195,,,0,M-R relationship,,5235,99.72,-154.88,0,0.8,0.06,-0.05,0,0.85,0.05,-0.05,0
Kepler-131 b,Kepler-131,1,2,Transit,2014,0.1238,,,0,0.051,0.011,-0.011,0,Mass,,5685,74,-74,0,1.03,0.1,-0.1,0,1.02,0.06,-0.06,0
Kepler-131 c,Kepler-131,1,2,Transit,2014,0.1684,,,0,0.026,0.019,-0.019,0,Mass,,5685,74,-74,0,1.03,0.1,-0.1,0,1.02,0.06,-0.06,0
Kepler-1310 b,Kepler-1310,1,1,Transit,2016,0.0148,,,0,0.00839,,,0,M-R relationship,,5549,136.6,-124.53,0,0.88,0.1,-0.07,0,0.91,0.05,-0.06,0
Kepler-1311 b,Kepler-1311,1,2,Transit,2016,0.0989,,,0,0.00651,,,0,M-R relationship,,5748,87.26,-72.3,0,1.4,0.3,-0.3,0,1.05,0.08,-0.06,0
Kepler-1311 c,Kepler-1311,1,2,Transit,2016,0.0368,,,0,0.00624,,,0,M-R relationship,,5748,87.26,-72.3,0,1.4,0.3,-0.3,0,1.05,0.08,-0.06,0
Kepler-1312 b,Kepler-1312,1,1,Transit,2016,0.0603,,,0,0.0159,,,0,M-R relationship,,5719,71.88,-58.57,0,0.92,0.03,-0.03,0,0.99,0.03,-0.03,0
Kepler-1313 b,Kepler-1313,1,1,Transit,2016,0.046,,,0,0.0118,,,0,M-R relationship,,5453,82.15,-76.05,0,0.85,0.03,-0.03,0,0.92,0.03,-0.03,0
Kepler-1314 b,Kepler-1314,1,1,Transit,2016,0.0504,,,0,0.072,,,0,M-R relationship,,4188,92.28,-113.71,0,0.59,0.02,-0.02,0,0.6,0.02,-0.02,0
Kepler-1315 b,Kepler-1315,1,1,Transit,2016,0.0163,,,0,0.0078,,,0,M-R relationship,,4861,81.92,-112.47,0,0.75,0.03,-0.03,0,0.8,0.03,-0.04,0
Kepler-1316 b,Kepler-1316,1,1,Transit,2016,0.3859,,,0,0.0386,,,0,M-R relationship,,5884,97.8,-96.34,0,1.12,0.17,-0.12,0,1.04,0.05,-0.05,0
Kepler-1317 b,Kepler-1317,1,1,Transit,2016,0.0128,,,0,0.00961,,,0,M-R relationship,,5144,84.2,-69.2,0,0.79,0.04,-0.04,0,0.83,0.04,-0.04,0
Kepler-1318 b,Kepler-1318,1,1,Transit,2016,0.6085,,,0,0.031,,,0,M-R relationship,,4598,63.77,-51.73,0,0.7,0.02,-0.03,0,0.73,0.03,-0.04,0
Kepler-1319 b,Kepler-1319,2,1,Transit,2016,0.0296,,,0,0.00742,,,0,M-R relationship,,3655,45.46,-50.09,0,0.54,0.02,-0.02,0,0.56,0.01,-0.02,0
Kepler-132 b,Kepler-132,2,4,Transit,2014,0.067,,,0,0.00606,,,0,M-R relationship,,6003,146,-146,0,1.18,0.23,-0.23,0,0.98,0.04,-0.04,0
Kepler-132 c,Kepler-132,2,4,Transit,2014,0.068,,,0,0.00687,,,0,M-R relationship,,6003,146,-146,0,1.18,0.23,-0.23,0,0.98,0.04,-0.04,0
Kepler-132 d,Kepler-132,2,4,Transit,2014,0.136,,,0,0.00951,,,0,M-R relationship,,6003,146,-146,0,1.18,0.23,-0.23,0,0.98,0.04,-0.04,0
Kepler-132 e,Kepler-132,2,4,Transit,2016,0.4393,,,0,0.00553,,,0,M-R relationship,,6023,82.47,-66.42,0,1.1,0.15,-0.1,0,1.03,0.06,-0.06,0
Kepler-1320 b,Kepler-1320,1,1,Transit,2016,0.0163,,,0,0.0111,,,0,M-R relationship,,4817,51.95,-67.43,0,0.74,0.03,-0.03,0,0.8,0.03,-0.04,0
Kepler-1321 b,Kepler-1321,1,2,Transit,2016,0.0781,,,0,0.0676,,,0,M-R relationship,,4094,91.2,-86.13,0,0.53,0.06,-0.04,0,0.54,0.07,-0.04,0
Kepler-1321 c,Kepler-1321,1,2,Transit,2016,0.0267,,,0,0.02,,,0,M-R relationship,,4094,91.2,-86.13,0,0.53,0.06,-0.04,0,0.54,0.07,-0.04,0
Kepler-1322 b,Kepler-1322,1,1,Transit,2016,0.0183,,,0,0.0101,,,0,M-R relationship,,5488,151.55,-103.39,0,0.87,0.11,-0.07,0,0.9,0.05,-0.06,0
Kepler-1323 b,Kepler-1323,1,1,Transit,2016,0.0191,,,0,0.0092,,,0,M-R relationship,,6169,74.24,-59.83,0,1.4,0.3,-0.21,0,1.18,0.11,-0.06,0
Kepler-1324 b,Kepler-1324,1,1,Transit,2016,0.0466,,,0,0.00909,,,0,M-R relationship,,4776,54.15,-70.56,0,0.73,0.02,-0.03,0,0.78,0.03,-0.04,0
Kepler-1325 b,Kepler-1325,1,1,Transit,2016,0.2004,,,0,0.0269,,,0,M-R relationship,,5550,82.37,-93.24,0,0.91,0.13,-0.06,0,0.93,0.04,-0.05,0
Kepler-1326 b,Kepler-1326,1,1,Transit,2016,0.2743,,,0,0.0512,,,0,M-R relationship,,6725,280.9,-196.41,0,1.74,0.63,-0.32,0,1.45,0.21,-0.16,0
Kepler-1327 b,Kepler-1327,1,1,Transit,2016,0.1186,,,0,0.0123,,,0,M-R relationship,,5885,115.84,-121.67,0,1.03,0.25,-0.11,0,1.02,0.07,-0.07,0
Kepler-1328 b,Kepler-1328,1,1,Transit,2016,0.0529,,,0,0.00284,,,0,M-R relationship,,5780,91.61,-90.02,0,0.99,0.2,-0.09,0,1,0.06,-0.06,0
Kepler-1329 b,Kepler-1329,1,1,Transit,2016,0.0747,,,0,0.0168,,,0,M-R relationship,,4500,38.73,-38.83,0,0.69,0.02,-0.02,0,0.72,0.02,-0.02,0
Kepler-133 b,Kepler-133,1,2,Transit,2014,0.083,,,0,0.0118,,,0,M-R relationship,,5736,100,-100,0,1.43,0.24,-0.24,0,1.02,0.05,-0.05,0
Kepler-133 c,Kepler-133,1,2,Transit,2014,0.204,,,0,0.0266,,,0,M-R relationship,,5736,100,-100,0,1.43,0.24,-0.24,0,1.02,0.05,-0.05,0
Kepler-1330 b,Kepler-1330,1,1,Transit,2016,0.0889,,,0,0.0106,,,0,M-R relationship,,5608,83,-112.79,0,0.94,0.23,-0.07,0,0.97,0.05,-0.05,0
Kepler-1331 b,Kepler-1331,1,1,Transit,2016,0.0142,,,0,0.00364,,,0,M-R relationship,,4508,243.21,-204.59,0,0.69,0.05,-0.04,0,0.72,0.05,-0.05,0
Kepler-1332 b,Kepler-1332,1,1,Transit,2016,0.0986,,,0,0.00771,,,0,M-R relationship,,5581,83.36,-69.91,0,0.9,0.04,-0.03,0,0.95,0.03,-0.04,0
Kepler-1333 b,Kepler-1333,1,1,Transit,2016,0.4382,,,0,0.0261,,,0,M-R relationship,,5628,142.84,-162.16,0,0.92,0.13,-0.08,0,0.94,0.06,-0.06,0
Kepler-1334 b,Kepler-1334,1,1,Transit,2016,0.1229,,,0,0.0184,,,0,M-R relationship,,5614,91.79,-87.5,0,0.91,0.12,-0.06,0,0.94,0.04,-0.05,0
Kepler-1335 b,Kepler-1335,1,1,Transit,2016,0.0615,,,0,0.00849,,,0,M-R relationship,,4903,66.92,-62.59,0,0.74,0.03,-0.04,0,0.77,0.04,-0.04,0
Kepler-1336 b,Kepler-1336,1,2,Transit,2016,0.1595,,,0,0.0144,,,0,M-R relationship,,5512,86.32,-66.78,0,1.3,0.19,-0.26,0,0.94,0.05,-0.04,0
Kepler-1336 c,Kepler-1336,1,2,Transit,2016,0.0631,,,0,0.0112,,,0,M-R relationship,,5512,86.32,-66.78,0,1.3,0.19,-0.26,0,0.94,0.05,-0.04,0
Kepler-1337 b,Kepler-1337,1,1,Transit,2016,0.1441,,,0,0.0201,,,0,M-R relationship,,4523,51.15,-50.38,0,0.67,0.03,-0.05,0,0.7,0.04,-0.05,0
Kepler-1338 b,Kepler-1338,1,1,Transit,2016,0.0193,,,0,0.00227,,,0,M-R relationship,,5909,114.45,-138.71,0,1.05,0.21,-0.11,0,1.04,0.08,-0.07,0
Kepler-1339 b,Kepler-1339,1,1,Transit,2016,0.0234,,,0,0.0009,,,0,M-R relationship,,5586,51.01,-56.05,0,0.93,0.06,-0.05,0,0.94,0.03,-0.04,0
Kepler-134 b,Kepler-134,1,2,Transit,2014,0.06,,,0,0.0147,,,0,M-R relationship,,5983,150,-150,0,1.18,0.23,-0.23,0,1.06,0.04,-0.05,0
Kepler-134 c,Kepler-134,1,2,Transit,2014,0.092,,,0,0.00669,,,0,M-R relationship,,5983,150,-150,0,1.18,0.23,-0.23,0,1.06,0.04,-0.05,0
Kepler-1340 b,Kepler-1340,1,1,Transit,2016,0.0153,,,0,0.00951,,,0,M-R relationship,,6331,166.81,-219.14,0,1.42,0.64,-0.25,0,1.27,0.2,-0.14,0
Kepler-1341 b,Kepler-1341,2,1,Transit,2016,0.4498,,,0,0.029,,,0,M-R relationship,,4662,43.09,-46.26,0,0.72,0.02,-0.02,0,0.79,0.02,-0.03,0
Kepler-1342 b,Kepler-1342,1,1,Transit,2016,0.0313,,,0,0.0107,,,0,M-R relationship,,5527,128.51,-178.84,0,0.9,0.11,-0.06,0,0.93,0.05,-0.06,0
Kepler-1343 b,Kepler-1343,1,1,Transit,2016,0.0449,,,0,0.0138,,,0,M-R relationship,,5759,107.08,-75.84,0,0.93,0.11,-0.08,0,0.95,0.06,-0.08,0
Kepler-1344 b,Kepler-1344,1,1,Transit,2016,0.0568,,,0,0.0127,,,0,M-R relationship,,5981,78.95,-91.31,0,1.13,0.31,-0.12,0,1.09,0.09,-0.07,0
Kepler-1345 b,Kepler-1345,1,1,Transit,2016,0.2638,,,0,0.0194,,,0,M-R relationship,,6449,123.48,-141.28,0,1.55,0.69,-0.3,0,1.32,0.22,-0.14,0
Kepler-1346 b,Kepler-1346,1,1,Transit,2016,0.044,,,0,0.00982,,,0,M-R relationship,,6133,118.39,-160.7,0,1.21,0.43,-0.15,0,1.14,0.15,-0.08,0
Kepler-1347 b,Kepler-1347,1,1,Transit,2016,0.104,,,0,0.0034,,,0,M-R relationship,,5193,74.46,-55.99,0,0.79,0.03,-0.03,0,0.82,0.04,-0.04,0
Kepler-1348 b,Kepler-1348,1,1,Transit,2016,0.1834,,,0,0.0139,,,0,M-R relationship,,5911,102.08,-101.96,0,1.04,0.23,-0.1,0,1.04,0.07,-0.07,0
Kepler-1349 b,Kepler-1349,1,1,Transit,2016,0.0341,,,0,0.00085,,,0,M-R relationship,,6086,98.49,-194.89,0,1.28,1.15,-0.19,0,1.16,0.41,-0.08,0
Kepler-135 b,Kepler-135,1,2,Transit,2014,0.067,,,0,0.0124,,,0,M-R relationship,,6090,120,-120,0,1.27,0.24,-0.24,0,1.25,0.06,-0.05,0
Kepler-135 c,Kepler-135,1,2,Transit,2014,0.103,,,0,0.00521,,,0,M-R relationship,,6090,120,-120,0,1.27,0.24,-0.24,0,1.25,0.06,-0.05,0
Kepler-1350 b,Kepler-1350,1,2,Transit,2016,0.0413,,,0,0.0217,,,0,M-R relationship,,3827,45.42,-59.63,0,0.53,0.03,-0.05,0,0.55,0.03,-0.05,0
Kepler-1350 c,Kepler-1350,1,2,Transit,2016,0.0222,,,0,0.0115,,,0,M-R relationship,,3827,45.42,-59.63,0,0.53,0.03,-0.05,0,0.55,0.03,-0.05,0
Kepler-1351 b,Kepler-1351,1,1,Transit,2016,0.0156,,,0,0.00065,,,0,M-R relationship,,4439,82.58,-77.72,0,0.67,0.03,-0.04,0,0.7,0.03,-0.04,0
Kepler-1352 b,Kepler-1352,1,1,Transit,2016,0.03,,,0,0.00201,,,0,M-R relationship,,6118,107.49,-116.34,0,1.16,0.33,-0.14,0,1.11,0.11,-0.08,0
Kepler-1353 b,Kepler-1353,1,1,Transit,2016,0.153,,,0,0.0123,,,0,M-R relationship,,4776,158.62,-111.78,0,0.72,0.04,-0.04,0,0.76,0.04,-0.05,0
Kepler-1354 b,Kepler-1354,1,1,Transit,2016,0.3521,,,0,0.0287,,,0,M-R relationship,,6168,136.72,-202.44,0,1.24,0.49,-0.19,0,1.16,0.16,-0.11,0
Kepler-1355 b,Kepler-1355,1,1,Transit,2016,0.0224,,,0,0.00859,,,0,M-R relationship,,5352,68.59,-62.37,0,0.83,0.06,-0.04,0,0.88,0.04,-0.04,0
Kepler-1356 b,Kepler-1356,1,1,Transit,2016,0.0136,,,0,0.0093,,,0,M-R relationship,,5106,65.11,-84.13,0,0.78,0.04,-0.04,0,0.82,0.04,-0.04,0
Kepler-1357 b,Kepler-1357,1,1,Transit,2016,0.041,,,0,0.00687,,,0,M-R relationship,,5597,92.01,-91.12,0,0.9,0.13,-0.07,0,0.93,0.05,-0.06,0
Kepler-1358 b,Kepler-1358,1,1,Transit,2016,0.0656,,,0,0.00459,,,0,M-R relationship,,5181,58.32,-55.42,0,0.79,0.04,-0.05,0,0.82,0.04,-0.05,0
Kepler-1359 b,Kepler-1359,1,1,Transit,2016,0.2769,,,0,0.0264,,,0,M-R relationship,,4709,46.37,-55.6,0,0.72,0.02,-0.02,0,0.78,0.03,-0.04,0
Kepler-136 b,Kepler-136,2,2,Transit,2014,0.106,,,0,0.062,0.037,-0.033,0,Mass,,6165,100,-100,0,1.35,0.25,-0.25,0,1.2,0.04,-0.04,0
Kepler-136 c,Kepler-136,2,2,Transit,2014,0.133,,,0,0.0145,,,0,M-R relationship,,6165,100,-100,0,1.35,0.25,-0.25,0,1.2,0.04,-0.04,0
Kepler-1360 b,Kepler-1360,1,1,Transit,2016,0.2866,,,0,0.0361,,,0,M-R relationship,,6778,324.31,-343.47,0,1.83,0.63,-0.41,0,1.51,0.23,-0.21,0
Kepler-1361 b,Kepler-1361,1,1,Transit,2016,0.0431,,,0,0.00178,,,0,M-R relationship,,5131,55.23,-57.72,0,0.79,0.04,-0.04,0,0.83,0.04,-0.04,0
Kepler-1362 b,Kepler-1362,1,1,Transit,2016,0.4626,,,0,0.0229,,,0,M-R relationship,,4857,51.17,-72.62,0,0.74,0.03,-0.03,0,0.8,0.03,-0.04,0
Kepler-1363 b,Kepler-1363,1,1,Transit,2016,0.0363,,,0,0.0066,,,0,M-R relationship,,4839,102.94,-109.75,0,0.72,0.04,-0.04,0,0.76,0.04,-0.05,0
Kepler-1364 b,Kepler-1364,1,1,Transit,2016,0.1284,,,0,0.0166,,,0,M-R relationship,,6805,136.21,-160.28,0,1.79,0.62,-0.31,0,1.49,0.21,-0.14,0
Kepler-1365 b,Kepler-1365,1,2,Transit,2016,0.075,,,0,0.00227,,,0,M-R relationship,,5770,86.4,-88.36,0,1.05,0.15,-0.1,0,1,0.04,-0.04,0
Kepler-1365 c,Kepler-1365,1,2,Transit,2016,0.0545,,,0,0.00137,,,0,M-R relationship,,5770,86.4,-88.36,0,1.05,0.15,-0.1,0,1,0.04,-0.04,0
Kepler-1366 b,Kepler-1366,1,1,Transit,2016,0.0273,,,0,0.00829,,,0,M-R relationship,,4070,63,-54.22,0,0.6,0.03,-0.04,0,0.62,0.03,-0.04,0
Kepler-1367 b,Kepler-1367,1,1,Transit,2016,0.0236,,,0,0.00227,,,0,M-R relationship,,4106,55.83,-57.12,0,0.6,0.03,-0.05,0,0.62,0.03,-0.05,0
Kepler-1368 b,Kepler-1368,1,1,Transit,2016,0.0153,,,0,0.0106,,,0,M-R relationship,,5906,120.57,-160.03,0,1.08,0.22,-0.11,0,1.07,0.08,-0.06,0
